id,SR_Pcode,State_Region,Tsp_Pcode,Township,Type,Facility,Date,Admitted_Total
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/06/20,5
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/05/20,5
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/10/20,2
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/18/20,0
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/13/20,0
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/16/20,0
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/14/20,0
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/07/20,5
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/15/20,0
Q008014036,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အိုးဘိုကုန်း,04/12/20,0
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/12/20,4
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/18/20,4
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/10/20,8
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/16/20,4
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/15/20,4
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/13/20,4
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/05/20,9
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/14/20,4
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/17/20,4
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/07/20,9
Q008014032,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),04/06/20,9
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/15/20,0
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/12/20,0
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/18/20,0
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/07/20,5
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/10/20,5
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/14/20,0
