id,SR_Pcode,State_Region,Tsp_Pcode,Township,Type,Facility,Date,Admitted_Total
Q007011001,MMR007,Bago (West),MMR007011,Kyaukkyi,ကွာရန်တင်းစခန်း,အ.ထ.က (ကျောက်ကြီး),04/03/20,68
Q007011004,MMR007,Bago (West),MMR007011,Kyaukkyi,ကွာရန်တင်းစခန်း,အ.ထ.က (ညောင်ပင်သာ),04/03/20,43
Q007011002,MMR007,Bago (West),MMR007011,Kyaukkyi,ကွာရန်တင်းစခန်း,အ.ထ.က (နတ်သံကွင်း),04/03/20,107
Q007011003,MMR007,Bago (West),MMR007011,Kyaukkyi,ကွာရန်တင်းစခန်း,အ.ထ.က (မုန်း),04/03/20,112
Q008009002,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (စစ်ကွင်း),04/05/20,36
Q008009005,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (စိန်ကန့်လန့်),04/05/20,51
Q008009001,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (မြို့ပြင်),04/05/20,37
Q008009006,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (ရွှေလောင်း),04/05/20,59
Q008009003,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (လက်ပံရေကျော်),04/05/20,37
Q008009004,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက-ခွဲ (ကိုင်ပြင်ကြီး),04/05/20,27
Q008009008,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အလက (ဂန့်ဂေါ်ပင်),04/05/20,37
Q008009007,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အလက (ရှားတောကွင်း),04/05/20,9
Q008010002,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အထက အိုးသည်ကုန်,04/05/20,45
Q008010005,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အထက( ခွဲ) ကိုင်းကလေ,04/05/20,28
Q008010001,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အထကအုတ်ဖို,04/05/20,105
Q008010003,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အထကအေးမြသာယာ,04/05/20,46
Q008010004,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အလက လယ်ဦးစု ( လက်ပတောအုပ်စု),04/05/20,25
Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/08/20,10
Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/18/20,0
