SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,Under_5_POP,Above_60_POP,MEAN_HH_Size,BED,PHYSNB,NURSNB,HSNB
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005006,Wetlet,ဝက်လက်,209375,14579,23860,4,73,8,19,7
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005007,Kanbalu,ကန့်ဘလူ,294015,26523,23823,5,148,25,38,8
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005008,Kyunhla,ကျွန်းလှ,94713,9772,8055,5,130,10,26,6
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005009,Ye-U,ရေဦး,136418,10002,14468,4,150,35,95,6
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005010,Tabayin,ဒီပဲယင်း,177186,12509,15785,5,89,9,15,6
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005011,Taze,တန့်ဆည်,179778,15385,18818,5,89,12,16,8
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005012,Monywa,မုံရွာ,344672,26716,37427,5,732,10,10,14
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005013,Budalin,ဘုတလင်,141974,10081,15484,4,82,8,27,5
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005014,Ayadaw,အရာတော်,160411,12085,18270,4,57,5,20,5
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005015,Chaung-U,ချောင်းဦး,106751,7983,12316,4,57,12,14,3
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005016,Yinmabin,ယင်းမာပင်,150123,11510,14613,5,82,6,17,4
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005017,Kani,ကနီ,143843,11387,12975,5,73,7,19,6
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005018,Salingyi,ဆားလင်းကြီး,13201,9089,13888,4,73,7,20,5
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005019,Pale,ပုလဲ,156269,12310,15590,4,57,5,17,6
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005020,Katha,ကသာ,160623,17122,11029,5,180,28,38,6
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005021,Indaw,အင်းတော်,125096,11922,9832,5,56,6,8,3
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005022,Tigyaing,ထီးချိုင့်,120370,12322,9422,5,139,11,16,5
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005023,Banmauk,ဗန်းမောက်,101055,13376,6853,5,57,7,15,4
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005024,Kawlin,ကောလင်း,151435,12260,12381,5,98,6,12,8
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005025,Wuntho,ဝန်းသို,73636,7377,5851,5,57,8,10,2
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005026,Pinlebu,ပင်လည်ဘူး,119352,12014,8723,5,57,9,12,4
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005027,Kale,ကလေး,338079,33570,26405,5,348,81,136,8
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005028,Kalewa,ကလေးဝ,57096,5044,4329,5,41,4,7,6
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005029,Mingin,မင်းကင်း,106874,10119,8570,5,114,9,18,8
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005030,Tamu,တမူး,112197,13447,7111,5,173,28,39,5
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005031,Mawlaik,မော်လိုက်,51037,5114,4155,5,82,6,6,2
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005032,Paungbyin,ဖေါင်းပြင်,107891,13454,8631,6,NA,7,17,4
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005033,Hkamti,ခန္တီး,35903,4843,2031,5,116,20,26,2
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005034,Homalin,ဟုမ္မလင်း,205792,30992,12772,6,228,24,49,12
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005035,Lay Shi,လေရှီး,18140,2471,935,5,41,5,12,3
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005036,Lahe,လဟယ်,54713,6395,3095,6,91,3,9,4
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005037,Nanyun,နန်းယွန်း,54378,7055,2907,6,57,9,8,3
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006001,Dawei,ထားဝယ်,134138,12965,14544,5,216,9,46,7
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006002,Launglon,လောင်းလုံ,105987,11610,14133,5,NA,6,18,6
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006003,Thayetchaung,သရက်ချောင်း,121637,10359,12226,5,57,5,22,3
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006004,Yebyu,ရေဖြူ,119458,12739,10356,4,73,4,29,4
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006005,Myeik,မြိတ်,255796,27430,21123,5,200,89,40,10
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006006,Kyunsu,ကျွန်းစု,175234,21532,8464,5,0,6,26,5
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006007,Palaw,ပုလော,1321726,14103,10594,5,130,10,48,5
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006008,Tanintharyi,တနင်္သာရီ,97869,12625,6109,5,82,5,23,5
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006009,Kawthoung,ကော့သောင်း,106910,14553,8200,4,164,25,69,8
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006010,Bokpyin,ဘုတ်ပြင်း,63081,9902,3302,5,82,4,18,3
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009001,Magway,မကွေး,293489,23334,29330,4,500,73,326,11
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009002,Yenangyaung,ရေနံချောင်း,155016,10834,16474,4,98,9,24,8
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009003,Chauk,ချောက်,212733,14570,22270,4,248,7,24,12
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009004,Taungdwingyi,တောင်တွင်းကြီး,266275,22102,26329,4,82,9,26,9
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009005,Myothit,မြို့သစ်,179544,15055,16487,4,NA,12,26,8
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009006,Natmauk,နတ်မောက်,236885,18417,25123,4,82,5,21,8
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009007,Minbu,မင်းဘူး,180536,14714,18053,4,NA,82,289,12
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009008,Pwintbyu,ပွင့်ဖြူ,177392,13746,16162,4,73,8,27,8
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009009,Ngape,ငဖဲ,51806,5217,4827,4,41,6,19,4
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009010,Salin,စလင်း,250250,19213,24849,4,123,14,38,8
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009011,Sidoktaya,စေတုတ္တရာ,45297,4400,5043,4,41,5,15,3
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009012,Thayet,သရက်,104580,7169,11634,4,116,23,38,5
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009013,Minhla,မင်းလှ,122903,11338,12745,4,114,6,20,8
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009014,Mindon,မင်းတုန်း,62118,4138,9082,4,57,5,21,10
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009015,Kamma,ကံမ,73473,5298,9463,4,57,6,14,4
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009016,Aunglan,အောင်လံ,235935,18499,22878,4,130,11,32,9
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009017,Sinbaungwe,ဆင်ပေါင်ဝဲ,117588,9911,11838,4,73,4,NA,99
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009018,Pakokku,ပခုက္ကူ,318751,23952,33280,4,264,103,203,11
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009019,Yesagyo,ရေစကြို,246608,18522,25803,5,180,24,62,13
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009020,Myaing,မြိုင်,271726,19972,27735,4,98,9,36,11
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009021,Pauk,ပေါက်,182785,16962,16585,4,73,7,27,9
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009022,Seikphyu,ဆိပ်ဖြူ,107834,9752,9934,4,82,6,29,4
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009023,Gangaw,ဂန့်ဂေါ,NA,10787,12757,4,180,NA,NA,NA
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009024,Tilin,ထီးလင်း,50033,3331,7107,5,73,7,32,4
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009025,Saw,ဆော,69586,5026,8710,4,57,6,26,6
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010001,Aungmyaythazan,အောင်မြေသာဇံ,183966,16712,22320,5,NA,11,5,1
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010002,Chanayethazan,ချမ်းအေးသာဇံ,148027,9980,17627,5,2950,7,5,1
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010003,Mahaaungmyay,မဟာအောင်မြေ,NA,15104,18466,5,16,NA,NA,NA
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010004,Chanmyathazi,ချမ်းမြသာစည်,215394,20903,20851,5,1000,106,9,1
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010005,Pyigyitagon,ပြည်ကြီးတံခွန်,154822,19744,14695,5,NA,6,2,0
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010006,Amarapura,အမရပူရ,185305,19243,20145,5,123,9,19,5
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010007,Patheingyi,ပုသိမ်ကြီး,212526,24484,18205,5,273,12,14,6
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010008,Pyinoolwin,ပြင်ဦးလွင်,179498,19915,18652,4,366,109,168,8
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010009,Madaya,မတ္တရာ,NA,23486,21088,4,330,14,24,7
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010010,Singu,စဉ့်ကူး,143756,14850,12277,5,98,11,18,6
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010011,Mogoke,မိုးကုတ်,171564,13946,13895,5,116,27,51,4
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010012,Thabeikkyin,သပိတ်ကျဉ်း,125776,17568,8416,5,NA,14,19,4
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010013,Kyaukse,ကျောက်ဆည်,258490,21972,20910,4,291,68,111,7
