,Announcement Date,Hospital-original,hospital-name-mm,PPE,Glove,N-95,Surgical Mask,Goggle,Shoe Cover,16 slides CT,ICU Bed,ECG,Infusion Pump,Syringe Pump,Ventilators,Remarks,Ref,lat,long
102,01/04/2020,Shan (South),စပ်စံထွန်းဆေးရုံကြီး,300.0,null,null,null,null,null,null,null,null,null,null,null,null,https://www.facebook.com/199295433433103/posts/3292724687423480/,20.803910000000002,97.03799000000001
103,01/04/2020,Shan (South),တောင်ကြီးအမျိုးသမီးနှင့် ကလေးဆေးရုံကြီး,100.0,null,null,null,null,null,null,null,null,null,null,null,null,https://www.facebook.com/199295433433103/posts/3292724687423480/,null,null
104,01/04/2020,Yangon,အမျိုးသားကျန်းမာရေးဓာတ်ခွဲခန်း,500.0,null,null,3000.0,null,null,null,null,null,null,null,null,null,https://www.facebook.com/199295433433103/posts/3292724687423480/,null,null
105,30/03/2020,Yangon,ဝေဘာဂီဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,Machine,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3287286627967286/3287286051300677/?type=3&theater,null,null
106,30/03/2020,Kayin,ဘားအံပြည်သူ့ဆေးရုံ,null,null,null,null,null,null,null,4.0,1.0,3.0,3.0,null,Machine,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3287286627967286/3287286051300677/?type=3&theater,null,null
107,30/03/2020,Chin,ဖလမ်းပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,1.0,1.0,null,null,null,Machine,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3287286627967286/3287286051300677/?type=3&theater,null,null
108,30/03/2020,Kachin,ဗန်းမော်ပြည်သူ့ဆေးရုံ,null,null,null,null,null,null,null,4.0,1.0,4.0,4.0,null,Machine,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3287286627967286/3287286051300677/?type=3&theater,null,null
109,30/03/2020,Shan (North),လားရှိုးပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,5.0,1.0,null,3.0,null,Machine,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3287286627967286/3287286051300677/?type=3&theater,null,null
110,30/03/2020,Sagaing,ရွှေဘိုပြည်သူ့ဆေးရုံ,null,null,null,null,null,null,null,2.0,null,2.0,2.0,null,Machine,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3287286627967286/3287286051300677/?type=3&theater,null,null
111,30/03/2020,Magway,မင်းဘူးမြို့ပြည်သူ့ဆေးရုံ,null,null,null,null,null,null,null,2.0,null,null,2.0,null,Machine,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3287286627967286/3287286051300677/?type=3&theater,null,null
112,30/03/2020,Mandalay,မန္တလေးအထွေထွေရောဂါကုဆေးရုံကြီး,null,null,null,null,null,null,null,null,1.0,null,null,null,Machine,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3287286627967286/3287286051300677/?type=3&theater,null,null
113,30/03/2020,Yangon,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,6.0,Machine,https://mobile.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3288859214476694?d=m&_rdc=1&_rdr,null,null
114,30/03/2020,Yangon,မြောက်ဥက္ကလာပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,6.0,Machine,https://mobile.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3288859214476694?d=m&_rdc=1&_rdr,null,null
115,30/03/2020,Yangon,ဝေဘာဂီဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,8.0,Machine,https://mobile.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3288859214476694?d=m&_rdc=1&_rdr,null,null
116,30/03/2020,Yangon,တောင်ဥက္ကလာ အမျိုးသမီးနှင့် ကလေးဆေးရုံကြီး,null,null,null,null,null,null,null,12.0,null,null,null,null,Machine,https://mobile.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3288859214476694?d=m&_rdc=1&_rdr,null,null
117,01/04/2020,Nay Pyi Taw,နေပြည်တော်ကုတင်၁၀၀၀,500.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
118,01/04/2020,Mandalay,မန္တလေးအထွေထွေရောဂါကုဆေးရုံကြီး,0.0,null,5000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
119,01/04/2020,Mandalay,မန္တလေး ဗဟိုအမျိုးသမီးဆေးရုံ,0.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
120,01/04/2020,Mandalay,ခုတင်(၅၀၀) ကလေးဆေးရုံ၊မန္တလေး,0.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
121,01/04/2020,Mandalay,မန္တလေးကလေးဆေးရုံ,0.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
122,01/04/2020,Mandalay,မန္တလေးခုတင် ၃၀၀ သင်ကြားရေးဆေးရုံ,0.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
123,01/04/2020,Mandalay,မန္တလေး အရိုးဆေးရုံ,0.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
124,01/04/2020,Yangon,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,1000.0,null,6000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
125,01/04/2020,Yangon,ရန်ကုန် အထူးကုဆေးရုံကြီး,200.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
126,01/04/2020,Yangon,ရန်ကုန်အထွေထွေရောဂါကုဆေးရုံသစ်ကြီး,200.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
127,01/04/2020,Yangon,ရန်ကုန်ဗဟိုအမျိုးသမီးဆေးရုံကြီး,100.0,null,1000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
128,01/04/2020,Yangon,မြောက်ဥက္ကလာပြည်သူ့ဆေးရုံကြီး,500.0,null,1000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
129,01/04/2020,Yangon,ရန်ကုန်ကလေးဆေးရုံကြီး,100.0,null,1000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
130,01/04/2020,Yangon,ရန်ကုန်အရိုးအထူးကုဆေးရုံကြီး,0.0,null,1000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
131,01/04/2020,Yangon,သင်္ဃန်းကျွန်းအထွေထွေ ရောဂါကု ဆေးရုံ,200.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
132,01/04/2020,Yangon,အင်းစိန်အထွေထွေရောဂါကု ဆေးရုံကြီး,300.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
133,01/04/2020,Yangon,ရန်ကင်းကလေးဆေးရုံ,200.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
134,01/04/2020,Yangon,ဝေဘာဂီဆေးရုံ,1000.0,null,5000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
135,01/04/2020,Shan (South),စဝ်စံထွန်းဆေးရုံကြီး,300.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
136,01/04/2020,Shan (South),တောင်ကြီးအမျိုးသမီးနှင့် ကလေးဆေးရုံကြီး,100.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
137,01/04/2020,Yangon,အမျိုးသားကျန်းမာရေးဓာတ်ခွဲခန်း,500.0,null,3000.0,null,null,null,null,null,null,null,null,null,null,null,null,null
138,03/04/2020,Nay Pyi Taw,နေပြည်တော်ကုတင်၁၀၀၀,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
139,03/04/2020,Nay Pyi Taw,ကလေးအထူးကုဆေးရုံ၊ နေပြည်တော်,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
140,03/04/2020,Nay Pyi Taw,အငြိမ်းစားနိုင်ငံ့ဝန်ထမ်းဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
141,03/04/2020,Yangon,မြောက်ဥက္ကလာပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
142,02/04/2020,Nay Pyi Taw,နေပြည်တော်ကုတင်၁၀၀၀,null,null,null,null,20000.0,null,null,null,null,null,null,null,null,null,null,null
143,02/04/2020,Mandalay,မန္တလေးအထွေထွေရောဂါကုဆေးရုံကြီး,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
144,02/04/2020,Mandalay,မန္တလေး ဗဟိုအမျိုးသမီးဆေးရုံ,null,null,null,null,10000.0,null,null,null,null,null,null,null,null,null,null,null
145,02/04/2020,Mandalay,မန္တလေးကလေးဆေးရုံ,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
146,02/04/2020,Yangon,ခုတင်(၅၅၀) ကလေးဆေးရုံ၊ ရန်ကုန်,null,null,null,null,10000.0,null,null,null,null,null,null,null,null,null,null,null
