,SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,Under_5_POP,Above_60_POP,MEAN_HH_Size,BED,PHYSNB,NURSNB,HSNB
40,MMR004,Chin,ချင်းပြည်နယ်,MMR004009,Paletwa,ပလက်ဝ,98583.0,13657,6403,5,82.0,5.0,27.0,5.0
41,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005001,Sagaing,စစ်ကိုင်း,282082.0,21749,34557,4,264.0,9.0,3.0,8.0
42,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005002,Myinmu,မြင်းမူ,114794.0,7415,13563,4,82.0,8.0,18.0,3.0
43,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005003,Myaung,မြောင်,112466.0,7616,13842,4,82.0,9.0,19.0,6.0
44,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005004,Shwebo,ရွှေဘို,261875.0,19450,27701,5,264.0,75.0,102.0,10.0
45,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005005,Khin-U,ခင်ဦး,151308.0,11690,15073,4,57.0,7.0,13.0,7.0
46,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005006,Wetlet,ဝက်လက်,209375.0,14579,23860,4,73.0,8.0,19.0,7.0
47,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005007,Kanbalu,ကန့်ဘလူ,294015.0,26523,23823,5,148.0,25.0,38.0,8.0
48,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005008,Kyunhla,ကျွန်းလှ,94713.0,9772,8055,5,130.0,10.0,26.0,6.0
49,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005009,Ye-U,ရေဦး,136418.0,10002,14468,4,150.0,35.0,95.0,6.0
50,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005010,Tabayin,ဒီပဲယင်း,177186.0,12509,15785,5,89.0,9.0,15.0,6.0
51,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005011,Taze,တန့်ဆည်,179778.0,15385,18818,5,89.0,12.0,16.0,8.0
52,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005012,Monywa,မုံရွာ,344672.0,26716,37427,5,732.0,10.0,10.0,14.0
53,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005013,Budalin,ဘုတလင်,141974.0,10081,15484,4,82.0,8.0,27.0,5.0
54,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005014,Ayadaw,အရာတော်,160411.0,12085,18270,4,57.0,5.0,20.0,5.0
55,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005015,Chaung-U,ချောင်းဦး,106751.0,7983,12316,4,57.0,12.0,14.0,3.0
56,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005016,Yinmabin,ယင်းမာပင်,150123.0,11510,14613,5,82.0,6.0,17.0,4.0
57,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005017,Kani,ကနီ,143843.0,11387,12975,5,73.0,7.0,19.0,6.0
58,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005018,Salingyi,ဆားလင်းကြီး,13201.0,9089,13888,4,73.0,7.0,20.0,5.0
